Restaurant Name,Rating,Price Range,Type of food,Phone,Address,Zipcode,City,State,Country,Website,Hours
Coffee Le D’San,,$,"Desserts, Coffee & Tea",,"Calle Uxmal 88, Narvarte Poniente",03020,Ciudad de México,,MX,,
24 Sabores,5.0,,"Desserts, Coffee & Tea, ",+52 664 308 8143,Av. Del Pacifico 100,,Tijuana,Baja California,MX,,Mon 9:00 am - 8:00 pm; Tue 9:00 am - 8:00 pm; Wed 9:00 am - 8:00 pm; Thu 9:00 am - 8:00 pm; Fri 9:00 am - 9:00 pm; Sat 9:00 am - 9:00 pm; Sun 9:00 am - 9:00 pm Open now
Condesa Café,5.0,,"Desserts, Coffee & Tea, Bagels, ",+52 664 382 5006,"Av. José Maria Pino Suárez S/N, Col. Libertad Parte Baja",,Tijuana,Baja California,MX,,Mon 7:30 am - 10:00 pm; Tue 7:30 am - 9:30 pm; Wed 7:30 am - 9:30 pm; Thu 7:30 am - 9:30 pm; Fri 7:30 am - 9:30 pm; Sat 7:30 am - 10:00 pm; Sun 10:00 am - 10:00 pm Closed now
Hantis Café,4.0,$$,"Desserts, Coffee & Tea, Bagels, ",+52 24 811 70768,"Juarez Pte. 107, Col. Centro",74000,San Martin Texmelucan de Labastida,Puebla,MX,,Mon 10:00 am - 11:00 pm Open now; Tue 10:00 am - 11:00 pm; Wed 10:00 am - 11:00 pm; Thu 10:00 am - 11:00 pm; Fri 10:00 am - 11:00 pm; Sat 10:00 am - 11:00 pm; Sun 10:00 am - 11:00 pm
Aldo´s,4.5,$$,"Desserts, Coffee & Tea, Bakeries, ",,5ta Av. Esqu. C. 4,77710,Playa del Carmen,Quintana Roo,MX,,
Cucurrucucu,5.0,,"Desserts, Coffee & Tea, Bakeries, ",,Avenida Andrés García Lavín 43,97117,Mérida,Yucatán,MX,,
Hogaza Hogaza,4.5,$$,"Desserts, Coffee & Tea, Bakeries, ",+52 646 175 2208,"Av. Miramar 637 3, Col. Zona Centro",22800,Ensenada,Baja California,MX,hogazahogaza.com,Mon 7:00 am - 8:00 pm; Tue 7:00 am - 8:00 pm; Wed 7:00 am - 8:00 pm; Thu 7:00 am - 8:00 pm; Fri 7:00 am - 8:00 pm; Sat 8:00 am - 3:00 pm; Sun Closed
La Casa de la Abuela,5.0,,"Desserts, Coffee & Tea, Bakeries, ",,"Tiburón 168, Col. Del Mar",13270,Ciudad de México,D.F.,MX,,Mon 8:00 am - 8:00 pm; Tue Closed; Wed Closed; Thu 8:00 am - 8:00 pm; Fri 8:00 am - 9:00 pm; Sat 8:00 am - 9:00 pm; Sun 8:00 am - 8:00 pm Closed now
Panadería Yalalag,4.0,$$,"Desserts, Coffee & Tea, Bakeries, ",,"Mariano Matamoros 100, Centro",68000,Oaxaca,,MX,,
Pasteleria Alcazar,4.0,,"Desserts, Coffee & Tea, Bakeries, ",+52 55 5264 3450,"Aguascalientes 98, Col. Roma",06760,"México, D.F.",,MX,pasteleriaalcazar.mx,Mon 8:00 am - 9:00 pm; Tue 8:00 am - 9:00 pm; Wed 8:00 am - 9:00 pm; Thu 8:00 am - 9:00 pm; Fri 8:00 am - 9:00 pm; Sat 8:00 am - 9:00 pm; Sun 8:00 am - 9:00 pm Open now
Yumpeq,3.0,$,"Desserts, Coffee & Tea, Bakeries, ",+52 33 181 67024,Av. Patria 1150,45054,Zapopan,Jalisco,MX,,Mon 9:00 am - 8:00 pm; Tue 9:00 am - 8:00 pm; Wed 9:00 am - 8:00 pm; Thu 9:00 am - 8:00 pm; Fri 9:00 am - 8:00 pm; Sat 9:00 am - 8:00 pm; Sun Closed
Barra 33,4.0,,"Desserts, Coffee & Tea, Breakfast & Brunch, ",+52 47 312 02222,"Lascuráiin de Retana #17 A, Centro",36000,Guanajuato,,MX,,Mon 8:00 am - 9:00 pm; Tue 8:00 am - 9:00 pm; Wed 8:00 am - 9:00 pm; Thu 8:00 am - 9:00 pm; Fri 8:00 am - 9:00 pm; Sat Closed; Sun Closed
Café Italik,,,"Desserts, Coffee & Tea, Breakfast & Brunch, ",+52 72 626 20164,"Del Coliseo 104, Col. Centro",51200,Valle de Bravo,México,MX,,Mon 11:00 am - 11:00 pm; Tue 11:00 am - 11:00 pm; Wed 11:00 am - 11:00 pm; Thu 11:00 am - 11:00 pm; Fri 11:00 am - 11:00 pm; Sat 11:00 am - 11:00 pm; Sun 11:00 am - 11:00 pm Open now
Delirio Cafetería y Postres,4.0,,"Desserts, Coffee & Tea, Breakfast & Brunch, ",+52 999 910 2672,"Calle 84 463A Colonia Centro, entre 49 y 51",97000,Mérida,Yucatán,MX,,
Zukkero’s,,,"Desserts, Coffee & Tea, Creperies, ",+52 55 3191 0828,"Cedro 183, Col. Santa María la Ribera",06400,"México, D.F.",,MX,,Mon 10:00 am - 9:00 pm; Tue 10:00 am - 9:00 pm; Wed 10:00 am - 9:00 pm; Thu 10:00 am - 9:00 pm; Fri 10:00 am - 9:00 pm; Sat 10:00 am - 9:00 pm; Sun 10:00 am - 9:00 pm Closed now
"Manducar, en Baja",4.5,$,"Desserts, Coffee & Tea, Delicatessen",+52 664 200 2990,"Av. Ensenada 2264, Col. Cacho, b",,Tijuana,Baja California,MX,,
Alfil Pastelería y Café,3.0,$$,"Desserts, Coffee & Tea, ",,"Nápoles 67, Col. Juárez",06600,"México, D.F.",,MX,,Mon 8:00 am - 10:00 pm Open now; Tue 8:00 am - 10:00 pm; Wed 8:00 am - 10:00 pm; Thu 8:00 am - 10:00 pm; Fri 8:00 am - 10:00 pm; Sat 9:00 am - 9:00 pm; Sun Closed
Almibar Postres etc,4.0,$$,"Desserts, Coffee & Tea, ",+52 664 380 5185,"Calle Octava 8688-2, Col. Zona Centro",22000,Tijuana,Baja California,MX,,Mon 10:00 am - 10:00 pm; Tue 10:00 am - 10:00 pm; Wed 10:00 am - 10:00 pm; Thu 10:00 am - 10:00 pm; Fri 10:00 am - 10:00 pm; Sat 10:00 am - 10:00 pm; Sun 10:00 am - 8:00 pm Closed now
Bubba plop!,4.5,$,"Desserts, Coffee & Tea, ",,Avenida Villas Hacienda. Plaza Real local 6,97139,Mérida,Yucatán,MX,bubbaplop.com,Mon 10:00 am - 9:00 pm; Tue 10:00 am - 9:00 pm; Wed 10:00 am - 9:00 pm; Thu 10:00 am - 9:00 pm; Fri 10:00 am - 9:00 pm; Sat 10:00 am - 9:00 pm; Sun 10:00 am - 9:00 pm Closed now
Bubble T’ Station,,,"Desserts, Coffee & Tea, ",+52 55 4434 2053,"Blvd. Adolfo López Mateos 201, Col. Santa Cruz Acatlán",53128,Naucalpan de Juárez,México,MX,bubbletstation.com.mx,Mon 9:00 am - 9:00 pm Open now; Tue 9:00 am - 9:00 pm; Wed 9:00 am - 9:00 pm; Thu 9:00 am - 9:00 pm; Fri 9:00 am - 9:00 pm; Sat 9:00 am - 10:00 pm; Sun 9:00 am - 9:00 pm
Café Alondra,4.0,,"Desserts, Coffee & Tea, ",+52 55 5554 0663,Calle Pdte. Carranza 115,04000,Ciudad de México,D.F.,MX,,
Café Amore,,,"Desserts, Coffee & Tea, ",+52 222 246 0281,"Av. 7 Pte 308, Col. Centro",72000,Heroica Puebla de Zaragoza,Puebla,MX,,Mon 9:00 am - 9:00 pm; Tue 9:00 am - 9:00 pm; Wed 9:00 am - 9:00 pm; Thu 9:00 am - 9:00 pm; Fri 9:00 am - 9:00 pm; Sat 9:00 am - 9:00 pm; Sun Closed
Café Círculo,3.5,$$,"Desserts, Coffee & Tea, ",+52 664 973 1010,Calz. Tecnológico 14418,22390,Tijuana,Baja California,MX,,Mon 7:00 am - 9:00 pm; Tue 7:00 am - 9:00 pm; Wed 7:00 am - 9:00 pm; Thu 7:00 am - 9:00 pm; Fri 7:00 am - 9:00 pm; Sat 8:00 am - 2:30 am; Sun Closed
Café de Papahuatlán,3.0,,"Desserts, Coffee & Tea, ",,"Dr. José Ma. Vértiz 830, Col. Narvarte",03650,"México, D.F.",,MX,,
Café Nueva York 16,4.0,,"Desserts, Coffee & Tea, ",,"Nueva York 16, Col Napoles",03810,"México, D.F.",,MX,,
Café San Pedro,5.0,$,"Desserts, Coffee & Tea, ",,"Plaza de los Caudillos, Av. Hidalgo 130, Col. Centro",45100,Zapopan,Jalisco,MX,,Mon 8:00 am - 10:00 pm; Tue 8:00 am - 10:00 pm; Wed 8:00 am - 10:00 pm; Thu 8:00 am - 10:00 pm; Fri 8:00 am - 10:00 pm; Sat 8:00 am - 10:00 pm; Sun 8:00 am - 10:00 pm Closed now
Caffe Sospeso,4.5,$,"Desserts, Coffee & Tea, ",+52 664 634 3184,"Joaquín Clausell 10322, Col. Zona Urbana Río",22010,Tijuana,Baja California,MX,caffesospeso.com,Mon 10:00 am - 9:00 pm; Tue 10:00 am - 9:00 pm; Wed 10:00 am - 9:00 pm; Thu 10:00 am - 9:00 pm; Fri 10:00 am - 9:00 pm; Sat 10:00 am - 9:00 pm; Sun 10:00 am - 9:00 pm Closed now
Caprichito Mio,4.5,$,"Desserts, Coffee & Tea, ",+52 55 6840 7400,"Teran 38, Col. Tabacalera",06030,"México, D.F.",,MX,,Mon 8:30 am - 9:00 pm; Tue 8:30 am - 9:00 pm; Wed 8:30 am - 9:00 pm; Thu 8:30 am - 9:00 pm; Fri 8:30 am - 9:00 pm; Sat 9:30 am - 9:00 pm; Sun Closed
Churrería El Moro,5.0,$$,"Desserts, Coffee & Tea, ",,"Mercado Roma, Querétaro 225",06700,"México, D.F.",,MX,elmoro.com.mx,
Cielito Querido Café,4.0,$$,"Desserts, Coffee & Tea, ",,Blvd. Manuel Avila Camacho 1007,54055,Tlalnepantla,México,MX,cielitoquerido.com.mx/sucursa\u2026,Mon 9:00 am - 10:00 pm; Tue 9:00 am - 10:00 pm; Wed 9:00 am - 10:00 pm; Thu 9:00 am - 10:00 pm; Fri 9:00 am - 11:00 pm; Sat 9:00 am - 11:00 pm; Sun 9:00 am - 10:00 pm Closed now
Cinnzeo,5.0,,"Desserts, Coffee & Tea, ",,Blvd. Marcelino García Barragán 2077,44840,Guadalajara,Jalisco,MX,,
Coffee Tree,3.0,,"Desserts, Coffee & Tea, ",,"La Gran Plaza, Av. San Ignacio S/N",45049,Guadalajara,Jalisco,MX,,
Cupcakes by Tom,3.0,$,"Desserts, Coffee & Tea, ",+52 55 5280 3300,"Anatole France 87, Col. Polanco",11550,"México, D.F.",,MX,cupcakesbytom.com,
Dulce Romita,,,"Desserts, Coffee & Tea, ",+52 55 6732 5982,"Tepic 5A, Col. Roma Sur",06760,"México, D.F.",,MX,,Mon 8:00 am - 8:00 pm; Tue 8:00 am - 8:00 pm; Wed 8:00 am - 8:00 pm; Thu 8:00 am - 8:00 pm; Fri 8:00 am - 8:00 pm; Sat 2:00 pm - 9:00 pm; Sun Closed
Dulcepastel,3.5,$$,"Desserts, Coffee & Tea, ",+52 951 205 8568,"Calle Netzahualcóyotl 221-A, Col. Reforma",68050,Oaxaca,,MX,,Mon 12:00 pm - 9:00 pm; Tue 12:00 pm - 9:00 pm; Wed 12:00 pm - 9:00 pm; Thu 12:00 pm - 9:00 pm; Fri 12:00 pm - 9:00 pm; Sat 12:00 pm - 9:00 pm; Sun 12:00 pm - 8:00 pm Closed now
El Huequito Café,4.5,$$,"Desserts, Coffee & Tea, ",+52 33 123 65268,Libertad 1840,44160,Guadalajara,Jalisco,MX,,Mon Closed; Tue 2:00 am - 10:30 pm; Wed 2:00 am - 10:30 pm; Thu 2:00 am - 10:30 pm; Fri 2:00 am - 10:30 pm; Sat 7:00 am - 10:30 pm; Sun Closed
Frappé & Smoothie House,,$$,"Desserts, Coffee & Tea, ",+52 477 717 2519,"Av. León 1009, Col. Panorama",37160,León,Guanajuato,MX,,Mon 12:30 pm - 9:30 pm; Tue 12:30 pm - 9:30 pm; Wed 12:30 pm - 9:30 pm; Thu 12:30 pm - 9:30 pm; Fri 12:30 pm - 9:30 pm; Sat 12:30 pm - 9:30 pm; Sun 12:30 pm - 9:30 pm Closed now
Gaudi Café,5.0,,"Desserts, Coffee & Tea, ",,Juarez 7,47200,Teocaltiche,Jalisco,MX,,Mon 10:00 am - 11:00 pm; Tue 10:00 am - 11:00 pm; Wed 10:00 am - 11:00 pm; Thu 10:00 am - 11:00 pm; Fri 10:00 am - 11:00 pm; Sat 10:00 am - 11:00 pm; Sun 10:00 am - 11:00 pm Open now
Havanna,4.5,$$,"Desserts, Coffee & Tea, ",,"Ejercito Nacional 843-B  Centro Comercial Antara, Col. Granada",11520,"México, D.F.",,MX,,
Imperium Café,3.0,,"Desserts, Coffee & Tea, ",+52 55 6545 4915,"Avenida México 74, Col. Santa Cruz Atoyac",03310,"México, D.F.",,MX,,Mon 7:00 am - 9:00 pm; Tue 7:00 am - 9:00 pm; Wed 7:00 am - 9:00 pm; Thu 7:00 am - 9:00 pm; Fri 7:00 am - 9:00 pm; Sat 7:00 am - 9:00 pm; Sun 7:00 am - 9:00 pm Open now
Italian Coffee,,,"Desserts, Coffee & Tea, ",+52 229 100 6540,Dr. Rafael Cuervo X 286,91810,Veracruz,,MX,italiancoffee.com,
Kaffeina,3.5,$$$,"Desserts, Coffee & Tea, ",+52 55 2630 3235,"Dr. Atl  175, Col. Santa María La Ribera",06400,"México, D.F.",,MX,,Mon 8:00 am - 11:00 pm; Tue 8:00 am - 11:00 pm; Wed 8:00 am - 11:00 pm; Thu 8:00 am - 11:00 pm; Fri 8:00 am - 11:00 pm; Sat 8:00 am - 11:00 pm; Sun 3:00 pm - 11:00 pm Closed now
La Estancia,4.5,$$,"Desserts, Coffee & Tea, ",+52 81 361 42337,"Santa Monica 284, Col. Zona Centro",44100,Guadalajara,Jalisco,MX,,Mon 8:30 am - 8:30 pm; Tue 8:30 am - 8:30 pm; Wed 8:30 am - 8:30 pm; Thu 8:30 am - 8:30 pm; Fri 8:30 am - 8:30 pm; Sat 8:30 am - 8:30 pm; Sun Closed
La Postrería,4.0,,"Desserts, Coffee & Tea, ",+52 222 169 8969,49 Poniente 907. Col. Prados Agua Azul,72430,Puebla,,MX,lapostreria.com.mx,
La Postrería Plaza San José,4.0,,"Desserts, Coffee & Tea, ",+52 222 169 8969,"Blvd. Atlixco no. 37, San José Vista Hermosa",72160,Puebla,,MX,lapostreria.com.mx,Mon 9:30 am - 9:00 pm; Tue 9:30 am - 9:00 pm; Wed 9:30 am - 9:00 pm; Thu 9:30 am - 9:00 pm; Fri 9:30 am - 9:00 pm; Sat 9:30 am - 9:00 pm; Sun 9:30 am - 9:00 pm Closed now
La Reserva Coffee House,,,"Desserts, Coffee & Tea, ",+52 55 6724 0307,"Jesús del Monte 350, Col. Jesus del Monte",05260,"México, D.F.",,MX,,Mon 8:00 am - 9:00 pm; Tue 8:00 am - 9:00 pm; Wed 8:00 am - 9:00 pm; Thu 8:00 am - 9:00 pm; Fri 8:00 am - 9:00 pm; Sat 8:00 am - 9:00 pm; Sun 1:00 pm - 7:00 pm Closed now
La Tertulia,,,"Desserts, Coffee & Tea, ",+52 46 464 17064,Benito Juárez 507,36700,Salamanca,Guanajuato,MX,,Mon 5:00 pm - 10:00 pm; Tue 5:00 pm - 10:00 pm; Wed 5:00 pm - 10:00 pm; Thu 5:00 pm - 10:00 pm; Fri 5:00 pm - 10:00 pm; Sat 5:00 pm - 10:00 pm; Sun Closed
London Crepe,4.0,$,"Desserts, Coffee & Tea, ",,"Blvd. Aguacaliente 11999, Col .Hipodromo",22024,Tijuana,Baja California,MX,,Mon 11:00 am - 10:00 pm; Tue 11:00 am - 10:00 pm; Wed 11:00 am - 10:00 pm; Thu 11:00 am - 10:00 pm; Fri 11:00 am - 11:00 pm; Sat 11:00 am - 11:00 pm; Sun 11:00 am - 11:00 pm Closed now
Luz cake,4.0,$$,"Desserts, Coffee & Tea, ",+52 55 5541 0520,"Sabino 235, Col. Santa María la Ribera",06400,"México, D.F.",,MX,,Mon 10:00 am - 7:00 pm; Tue 10:00 am - 7:00 pm; Wed 10:00 am - 7:00 pm; Thu 10:00 am - 7:00 pm; Fri 10:00 am - 7:00 pm; Sat 10:00 am - 6:30 pm; Sun Closed
Mango Frappé,4.0,$,"Desserts, Coffee & Tea, ",,"Pedro Enriquez Ureña 155, Col.  Los Reyes",04369,"México, D.F.",,MX,,
Maya Cacao,3.5,$,"Desserts, Coffee & Tea, ",+52 646 156 5133,"Alvarado 914, Col. Zona Centro",22800,Ensenada,Baja California,MX,mayacacao.com,Mon 10:30 am - 7:30 pm; Tue 10:30 am - 7:30 pm; Wed 10:30 am - 7:30 pm; Thu 10:30 am - 7:30 pm; Fri 10:30 am - 7:30 pm; Sat 10:30 am - 7:30 pm; Sun 12:00 pm - 5:00 pm Closed now
Nany,4.0,$$,"Desserts, Coffee & Tea, ",+52 33 195 53707,"Av. Tepeyac 447, Colonia Casino",45047,Zapopan,Jalisco,MX,,
Oaxaca En Una Taza,,$$,"Desserts, Coffee & Tea, ",,Calle de La Constitución 108,68000,Oaxaca,,MX,,Mon 8:00 am - 9:00 pm; Tue 8:00 am - 9:00 pm; Wed 8:00 am - 9:00 pm; Thu 8:00 am - 9:00 pm; Fri 8:00 am - 9:00 pm; Sat 8:00 am - 9:00 pm; Sun 8:00 am - 9:00 pm Closed now
Petite,3.0,,"Desserts, Coffee & Tea, ",,"Calz. Tecnológico 21000, Plaza Americana",22390,Tijuana,Baja California,MX,,
Record Arte Cafe,5.0,$,"Desserts, Coffee & Tea, ",+52 55 6802 0839,"Guerrero 13, Col. Progreso San Angel",01080,Ciudad de México,D.F.,MX,,Mon 8:00 am - 8:00 pm; Tue 8:00 am - 8:00 pm; Wed 8:00 am - 8:00 pm; Thu 8:00 am - 8:00 pm; Fri 8:00 am - 8:00 pm; Sat 9:00 am - 2:00 pm; Sun Closed
Resto-Café La Vianda,5.0,$$,"Desserts, Coffee & Tea, ",,"Miguel Laurent 1406 casi esq. Bulgaria, Colonia Letrán Valle",03650,"México, D.F.",,MX,lavianda.com.mx,Mon 3:00 pm - 10:00 pm; Tue 3:00 pm - 10:00 pm; Wed 3:00 pm - 10:00 pm; Thu 3:00 pm - 10:00 pm; Fri 3:00 pm - 10:00 pm; Sat 3:00 pm - 11:00 pm; Sun Closed
Rosemary Café,5.0,$$,"Desserts, Coffee & Tea, ",+52 33 382 56245,López Cotilla y Prado,44160,Guadalajara,Jalisco,MX,,
Snow Tea,3.0,$,"Desserts, Coffee & Tea, ",+52 999 930 6993,"Calle 7 452, Col. Altabrisa",97130,Mérida,Yucatán,MX,snowtea.com.mx,Mon 10:00 am - 9:00 pm; Tue 10:00 am - 9:00 pm; Wed 10:00 am - 9:00 pm; Thu 10:00 am - 9:00 pm; Fri 10:00 am - 9:00 pm; Sat 10:00 am - 9:00 pm; Sun 10:00 am - 9:00 pm Closed now
Starbucks,4.5,$$,"Desserts, Coffee & Tea, ",,Del Sol 11,77507,Cancún,Quintana Roo,MX,,
Starlight,3.5,,"Desserts, Coffee & Tea, ",,Blvd. Juan Alonso de Torres 2002,37129,León,Guanajuato,MX,,
Starlight,4.0,$$,"Desserts, Coffee & Tea, ",,Paseo de los Insurgentes 2216,37310,San Jose de las Piletas,Guanajuato,MX,,Mon 7:00 am - 11:00 pm; Tue 7:00 am - 11:00 pm; Wed 7:00 am - 11:00 pm; Thu 7:00 am - 11:00 pm; Fri 7:00 am - 11:00 pm; Sat 7:00 am - 11:00 pm; Sun 7:00 am - 11:00 pm Open now
Tage Arts,4.0,,"Desserts, Coffee & Tea, ",,13 Oriente 618,72762,Cholula de Rivadavia (San Pedro Cholula),Puebla,MX,,Mon 12:00 pm - 10:00 pm; Tue 12:00 pm - 10:00 pm; Wed 12:00 pm - 10:00 pm; Thu 12:00 pm - 10:00 pm; Fri 12:00 pm - 10:00 pm; Sat 2:00 am - 10:00 pm; Sun 2:00 am - 10:00 pm Open now
Tangerine Repostería,3.0,,"Desserts, Coffee & Tea, ",+52 664 313 9898,Paseo Estrella del Mar 1075,22205,Tijuana,Baja California,MX,,
The Italian Coffee,3.0,$$$,"Desserts, Coffee & Tea, ",,"Naranjos 409, Col. Reforma",68050,Oaxaca,,MX,,
The Little Bakery House,4.0,,"Desserts, Coffee & Tea, ",+52 222 650 3549,"49 Poniente 907 A, Col. Prados Agua Azul",72430,Puebla,,MX,thelittlebakeryhouse.com,
Topolino,4.0,$$,"Desserts, Coffee & Tea, ",+52 24 444 50972,"Blvd. Municipio Libre 555, Col. Loma Bella",,Heroica Puebla de Zaragoza,Puebla,MX,topolino.com,Mon 9:00 am - 10:00 pm; Tue 9:00 am - 10:00 pm; Wed 9:00 am - 10:00 pm; Thu 9:00 am - 10:00 pm; Fri 9:00 am - 10:00 pm; Sat Closed; Sun Closed
Tumbalá Café,4.0,,"Desserts, Coffee & Tea, ",,"Av. México-Coyoacan 56, Col. Santa Cruz Atoyac",04100,"México, D.F.",,MX,,
Vainilla Chocolate,4.0,$$,"Desserts, Coffee & Tea, ",+52 222 225 0356,"Plaza Vía San Angel, Vía Atlixcáyotl 1504, Locales 13 y 14",,Puebla,,MX,vainillachocolate.mx,Mon 9:00 am - 9:00 pm; Tue 9:00 am - 9:00 pm; Wed 9:00 am - 9:00 pm; Thu 9:00 am - 9:00 pm; Fri 9:00 am - 9:00 pm; Sat 9:00 am - 9:00 pm; Sun 9:00 am - 9:00 pm Closed now
Vainilla chocolate,4.5,$$,"Desserts, Coffee & Tea, ",+52 999 688 5780,"Av. Andrés García Lavín 349, San Ramón Norte",97117,Mérida,Yucatán,MX,vainillachocolate.mx,
Ruta Café,3.0,$$$$,"Desserts, Coffee & Tea, Donuts, ",,"ADO, Niños Héroes de Chapultepec 821",68070,Oaxaca,,MX,,
Amorino,5.0,,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, ",+52 984 147 2297,Calle Quinta Avenida S/N,77720,Playa del Carmen,Quintana Roo,MX,amorino.com,Mon 10:00 am - 1:00 am; Tue 10:00 am - 1:00 am; Wed 10:00 am - 1:00 am; Thu 10:00 am - 1:00 am; Fri 10:00 am - 1:00 am; Sat 10:00 am - 1:00 am; Sun 10:00 am - 1:00 am Closed now
Di Martino Heladeria,,,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, ",,"89, Paseo Maritimo",04140,Carboneras,México,MX,,
Heladería Santa Clara,4.5,,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, ",+52 55 5593 5733,"Felix Parra 165, Col. San José Insurgentes",03900,"México, D.F.",,MX,santaclara.com.mx,
Nonna mía,3.5,$$,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, ",+52 477 636 0047,"Blvd. Campestre 1122, Local 4",37160,León,Guanajuato,MX,,Mon 9:00 am - 5:00 pm; Tue 9:00 am - 5:00 pm; Wed 9:00 am - 5:00 pm; Thu 9:00 am - 5:00 pm; Fri 9:00 am - 5:00 pm; Sat 9:00 am - 5:00 pm; Sun 9:00 am - 5:00 pm Closed now
Señor Sweets,4.5,$$,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, ",+52 624 105 0102,Puerto Paraiso 39,23479,Cabo San Lucas,Baja California Sur,MX,senorsweets.com,Mon 7:30 am - 11:00 pm; Tue 7:30 am - 11:00 pm; Wed 7:30 am - 11:00 pm; Thu 7:30 am - 11:00 pm; Fri 7:30 am - 11:00 pm; Sat 7:30 am - 11:00 pm; Sun 7:30 am - 11:00 pm Closed now
Cachito Mío,4.5,$$,"Desserts, Coffee & Tea, Patisserie/Cake Shop, ",+52 55 3623 5037,Guanajuato 138,06700,"México, D.F.",,MX,cachito.mx,Mon Closed; Tue 12:00 pm - 10:00 pm; Wed 12:00 pm - 10:00 pm; Thu 12:00 pm - 10:00 pm; Fri 12:00 pm - 10:00 pm; Sat 11:00 am - 10:00 pm; Sun 11:00 am - 8:00 pm Open now
Con Knela,5.0,,"Desserts, Coffee & Tea, Patisserie/Cake Shop, ",+52 664 975 1131,"Calle Negrete S/N, Zona Centro",22000,Tijuana,Baja California,MX,,
La Casa del Cheese Cake,4.5,$$,"Desserts, Coffee & Tea, Patisserie/Cake Shop, ",+52 999 924 3009,Calle 64 408 B,97000,Mérida,Yucatán,MX,,
Tere Cazola City Center,5.0,,"Desserts, Coffee & Tea, Patisserie/Cake Shop, ",,City Center,97113,Mérida,Yucatán,MX,,
Corteza,,,"Desserts, Coffee & Tea, Pubs,",+52 66 565 41515,"Libertad 152, Col. Zona Centro",21400,Tecate,Baja California,MX,,Mon 2:00 pm - 10:00 pm; Tue 7:00 am - 10:00 pm; Wed 7:00 am - 10:00 pm; Thu 7:00 am - 10:00 pm; Fri 7:00 am - 11:00 pm; Sat 7:00 am - 11:00 pm; Sun 7:00 am - 10:00 pm Open now
Cafeteria El Bujo,,,"Desserts, Coffee & Tea, Sandwiches,",,Río Lerma S/N,36700,Salamanca,Guanajuato,MX,,
Café Zitto,5.0,$,"Desserts, Coffee & Tea, Specialty Food, ",,calle 61 entre 40 y 42,97000,Mérida,Yucatán,MX,,
Arté Casa Cacho,4.5,,"Desserts, Coffee & Tea, Tea Rooms",+52 664 684 7700,"Calle Fresnillo #2361, Col. Madero (cacho)",,Tijuana,Baja California,MX,,Mon 12:00 pm - 9:00 pm; Tue 12:00 pm - 9:00 pm; Wed 12:00 pm - 9:00 pm; Thu 12:00 pm - 9:00 pm; Fri 12:00 pm - 9:00 pm; Sat 12:00 pm - 9:00 pm; Sun Closed
Bubble t Station,,,"Desserts, Coffee & Tea, Tea Rooms",+52 55 5084 1620,"Camino a San Mateo Nopala 8, Col. Jardines de San Mateo",53240,Naucalpan de Juárez,México,MX,,
La Pasión,4.0,$$,"Desserts, Coffee & Tea, Tea Rooms",+52 951 513 8100,"Violetas 221, Col. Reforma",68050,Oaxaca,,MX,lapasion.mx,Mon 9:00 am - 11:00 pm; Tue 9:00 am - 11:00 pm; Wed 9:00 am - 11:00 pm; Thu 9:00 am - 11:00 pm; Fri 9:00 am - 11:00 pm; Sat 9:00 am - 11:00 pm; Sun 9:00 am - 11:00 pm Closed now
La Tetería de Anastasia,4.0,$,"Desserts, Coffee & Tea, Tea Rooms",,Calle Justo Sierra 2636,44130,Guadalajara,Jalisco,MX,,
Patisserie Shop,5.0,,"Desserts, Cooking Schools, ",+52 55 5677 8767,"Calz. del Hueso 503 (esq. Av. Canal de Miramontes), Coyoacán",04920,"México, D.F.",,MX,,Mon 10:00 am - 7:00 pm Open now; Tue 10:00 am - 7:00 pm; Wed 10:00 am - 7:00 pm; Thu 10:00 am - 7:00 pm; Fri 10:00 am - 7:00 pm; Sat 10:00 am - 7:00 pm; Sun 10:00 am - 7:00 pm
Chocolat Cake,5.0,,"Desserts, Cooking Schools, Specialty Food, ",+52 984 206 1316,"Av. Constituyentes, entre 110 y 105",08800,"México, D.F.",,MX,,
Crepas Aramis,5.0,,"Desserts, Creperies, ",,"Cádiz S/N, Col. Álamos",,"México, D.F.",,MX,,
La Creperia,1.5,$,"Desserts, Creperies, ",,"Plaza Las Americas, Av. Tulúm S/N",,Cancún,Quintana Roo,MX,creperia.com.mx,
Lo Stivale,3.0,$$,"Desserts, Creperies, Ice Cream & Frozen Yogurt, ",+52 951 501 1868,"Calle Macedonio Alcalá 405, Col. Centro",68000,Oaxaca,,MX,,Mon Closed; Tue Closed; Wed Closed; Thu 11:00 am - 8:00 pm; Fri 11:00 am - 8:00 pm; Sat Closed; Sun Closed
Delikata Boutique de Postres,,,"Desserts, Cupcakes, Bakeries, ",+52 24 410 06787,"Av. 20 de Noviembre 1306, Col. Centro",74270,Atlixco,Puebla,MX,,Mon 10:00 am - 8:00 pm; Tue 10:00 am - 8:00 pm; Wed 10:00 am - 8:00 pm; Thu 10:00 am - 8:00 pm; Fri 10:00 am - 8:00 pm; Sat 10:00 am - 8:00 pm; Sun 10:00 am - 8:00 pm Open now
